FeatureURI,Name,UTM_E,UTM_N,UTMDatumZone,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,LocationUncertaintyCode,LocationUncertaintyRadius,LocationKeyword,HeatApplication,Temperature,TempUnits,TempMeasurementProcedure,Flow,FlowUnits,FlowMeasurementProcedure,Capacity,CapacityUnits,CapacityProcedure,EnergyUse,EnergyUseUnits,EnergyUseProcedure,LoadFactor,FacilityContact,PostalAddress,Zip,Phone,EMailAddress,Source,MetadataURI
OR_029_JHS_24,Jackson Hot Springs,520020.489,5007532.892,10 T,45.221,-122.7450,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Jackson County|
Ashland, OR",ResortOrPool,100,F,unknown,,,,0.3,MWt,unknown,2.1,GWh/yr,unknown,0.8,,"2253 Hwy 99 North Ashland, OR",97520,541 482-3776,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0375.htm",
OR_035_KFSP_25,"Klamath Falls
Swimming Pools (5)",600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,General City lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR|
",ResortOrPool,180,F,unknown,,,,0.3,MWt,unknown,1.3,GWh/yr,unknown,0.45,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0377.htm",
OR_059_LHS_26,Lehman Hot Springs,369434.4533,5001178.479,11 T,45.152,-118.6610,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Umatilla County|
Ukiah, OR",ResortOrPool,167,F,unknown,,,,0.3,MWt,unknown,2.1,GWh/yr,unknown,0.8,,"Milepost 17 Hwy 244
Box 263
Ukiah, OR",97880,541 427-3015,lehmanhotsprings@yahoo.com,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0378.htm",
OR_037_PSP_27,Public Swimming Pool,719398.475,4674291.266,10 T,42.190,-120.3430,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Lake County|
Lakeview, OR",ResortOrPool,180,F,unknown,20,gpm,unknown,0.2,MWt,unknown,0.5,GWh/yr,unknown,0.26,,"2nd & N St.
Lakeview, OR",97630,541 947-2900,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0379.htm",
OR_023_RHS_28,Ritter Hot Springs,330781.6044,4973188.06,11 T,44.892,-119.1430,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Grant County|
Canyon City, OR",ResortOrPool,,,,,,,0.3,MWt,unknown,2.1,GWh/yr,unknown,0.8,,"Box 16
Ritter, OR",97872,541 421-3846,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0380.htm",
OR_037_SLHS_29,"Summer Lake Hot
Springs",692564.7685,4732960.819,10 T,42.725,-120.6480,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Lake County|
Paisley, OR",ResortOrPool,118,F,unknown,,,,0.3,MWt,unknown,2.1,GWh/yr,unknown,0.8,,"41777 Highway 31
Paisley, OR",97636,541 943-3931,relax@summerlakehotsprings.com,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0381.htm",
OR_065_KNT_30,Kah-nee-ta,642131.2761,4969084.393,10 T,44.861,-121.2010,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Wasco County|
Jefferson County|
Warm Springs, OR",ResortOrPool,126,F,unknown,450,gpm,unknown,1.3,MWt,unknown,8.1,GWh/yr,unknown,0.7,,"P.O. Box 1240
Shipping:
6823 Highway 8
Warm Springs, OR",97761,541 553-1112,fmosesahern@kahneeta.com,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0376.htm",
OR_001_BSP_31,Baker Swimming Pool,435678.4088,4958833.324,11 T,44.780,-117.8130,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Baker County|
Baker City, OR",ResortOrPool,75,F,unknown,200,gpm,unknown,0.2,MWt,unknown,0.5,GWh/yr,unknown,0.34,,"580 Baker Street
Baker City, OR",97814,541 523-7747,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dur0367.htm",
OR_037_HHS_32,Hunters Hot Spring,717148.5677,4677555.984,10 T,42.220,-120.3690,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Lake County|
Lakeview, OR",Space Heating,202,F,unknown,78,gpm,unknown,0.2,MWt,unknown,0.5,GWh/yr,unknown,0.24,,"18088 Highway 395 North
Lakeview, OR",97630,541 947-4242,huntersresort@aol.com,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0094.htm",
OR_035_KFAB_33,"Klamath Falls
Apartment Bldgs. (13)",600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Klamath County|
Klamath Falls, OR",Space Heating,180,F,unknown,,,,1.9,MWt,unknown,4.2,GWh/yr,unknown,0.25,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0096.htm",
OR_035_KFC_34,"Klamath Falls
Churches (5)",600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Klamath County|
Klamath Falls, OR",Space Heating,190,F,unknown,,,,0.5,MWt,unknown,1.1,GWh/yr,unknown,0.26,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0097.htm",
OR_035_KCS_35,Klamath Co. Shops,600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Klamath County|
Klamath Falls, OR",Space Heating,118,F,unknown,113,gpm,unknown,0.5,MWt,unknown,1.1,GWh/yr,unknown,0.26,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0099.htm",
OR_035_KCJ_36,Klamath County Jail,603327.2959,4675184.201,10 T,42.222,-121.7480,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,180,F,unknown,700,gpm,unknown,3.1,MWt,unknown,6.7,GWh/yr,unknown,0.25,,"3300 Vanderberg Rd
Klamath Falls, OR",97603,541 883-5130,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0098.htm",
OR_037_LR_37,"Lakeview Residences
(9)",719236.7739,4674175.074,10 T,42.189,-120.3450,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Lake County|
Lakeview, OR",Space Heating,190,F,unknown,50,gpm,unknown,0.12,MWt,unknown,0.3,GWh/yr,unknown,0.26,,"Lakeview, OR",,541 947-2371,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0102.htm",
OR_035_LV_38,Langel Valley,631600.8739,4673101.72,10 T,42.199,-121.4060,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Langel Valley|
Bonanza, OR",Space Heating,147,F,unknown,20,gpm,unknown,0.03,MWt,unknown,0.03,GWh/yr,unknown,0.11,,"Bonanza, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0103.htm",
OR_035_MIO_39,"Maywood Industries of
Oregon",602359.5315,4673615.221,10 T,42.208,-121.7600,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,118,F,unknown,450,gpm,unknown,0.9,MWt,unknown,2,GWh/yr,unknown,0.26,,"2350 Maywood Dr.
Klamath Falls, OR",97603,541 883-5366,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0104.htm",
OR_035_SLMC_40,"Sky Lakes Medical Center|
previously Merle West Medical Center",600307.0649,4678583.289,10 T,42.253,-121.7840,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,191,F,unknown,325,gpm,unknown,3.1,MWt,unknown,7,GWh/yr,unknown,0.26,,"2865 Daggett St.
Klamath Falls, OR",97601,541 882-6311,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0106.htm",
